DISTRICT,CHIEFDOM,SECTION
Western Area Urb,Central I,Albert Academy
Western Area Urb,Central I,Mountain Regent
Western Area Urb,Central I,Sorie Town
Western Area Urb,Central I,Susan' s Bay
Western Area Urb,Central I,Tower Hill
Western Area Urb,Central II,Connaught Hospital
Western Area Urb,Central II,Sanders Brook
Western Area Urb,East I,Cline Town
Western Area Urb,East I,Fourah Bay
Western Area Urb,East I,Kossoh Town
Western Area Urb,East II,Bombay
Western Area Urb,East II,Coconut Farm/ Ashobi Corner
Western Area Urb,East II,Foulah Town
Western Area Urb,East II,Ginger Hall
Western Area Urb,East II,Kissy Brook
Western Area Urb,East II,Magazine
Western Area Urb,East II,Mount Aureol
Western Area Urb,East II,Quarry/ Kissy
Western Area Urb,East III,Allen Town I
Western Area Urb,East III,Allen Town II
Western Area Urb,East III,Bottom Oku/ Wellington
Western Area Urb,East III,Congo Water I
Western Area Urb,East III,Congo Water II
Western Area Urb,East III,Grass Field/ Wellinghton
Western Area Urb,East III,Industrial Estate/ Wellington
Western Area Urb,East III,Jalloh Terrace
Western Area Urb,East III,Kissy Brook
Western Area Urb,East III,Kissy Bye Pass I
Western Area Urb,East III,Kissy Bye Pass II
Western Area Urb,East III,Kissy Mental
Western Area Urb,East III,Kissy Mess Mess
Western Area Urb,East III,Kuntolor
Western Area Urb,East III,Lowcost Housing
Western Area Urb,East III,Mamba Ridge I
Western Area Urb,East III,Mamba Ridge II
Western Area Urb,East III,Mayenkineh
Western Area Urb,East III,Old Warf
Western Area Urb,East III,Pamuronko
Western Area Urb,East III,Portee
Western Area Urb,East III,Robis
Western Area Urb,East III,Rokupa
Western Area Urb,East III,Shell
Western Area Urb,East III,Tasso Island
Western Area Urb,East III,Thunderhill
Western Area Urb,West I,Ascension Town
Western Area Urb,West I,Brookfields
Western Area Urb,West I,Kingtom
Western Area Urb,West I,Kroo Town
Western Area Urb,West II,Brookfields-Congo Cross
Western Area Urb,West II,Brookfields-Red Pump
Western Area Urb,West II,Congo Town
Western Area Urb,West II,George Brook (Dwarzark)
Western Area Urb,West II,New England-Hannes
Western Area Urb,West II,New England-Hill Cot
Western Area Urb,West II,Tengbeh Town
Western Area Urb,West III,Aberdeen
Western Area Urb,West III,Cockerill-Aberdeen
Western Area Urb,West III,Cockle-Bay /Collegiate
Western Area Urb,West III,Hill Station
Western Area Urb,West III,Juba/Kaningo
Western Area Urb,West III,Lumley
Western Area Urb,West III,Malama/Kamayama
Western Area Urb,West III,Murray Town
Western Area Urb,West III,Pipeline/Wilkinson
Western Area Urb,West III,Grass Field/ Lumley
Western Area Urb,West III,Wilberforce
Western Area Urb,West III,Quarry/ Wilkinson road
